Start Time: 2026-03-30 16:54:26.692
Export Time: 2026-03-30 16:57:47.837
Min (dBA): 54.9
Max (dBA): 76.2
Peak (dBA): 80.1
Avg (dBA): 65.1
TWA (dBA): 0.0
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
65.6,2026-03-30 16:56:52.722
65.7,2026-03-30 16:56:52.932
66.5,2026-03-30 16:56:53.142
65.6,2026-03-30 16:56:53.352
63.9,2026-03-30 16:56:53.562
63.6,2026-03-30 16:56:53.772
65.7,2026-03-30 16:56:53.982
63.0,2026-03-30 16:56:54.192
63.0,2026-03-30 16:56:54.402
61.9,2026-03-30 16:56:54.612
62.8,2026-03-30 16:56:54.822
61.0,2026-03-30 16:56:55.032
65.0,2026-03-30 16:56:55.242
64.5,2026-03-30 16:56:55.452
62.1,2026-03-30 16:56:55.662
66.3,2026-03-30 16:56:55.872
66.1,2026-03-30 16:56:56.082
64.2,2026-03-30 16:56:56.292
63.0,2026-03-30 16:56:56.502
63.0,2026-03-30 16:56:56.712
60.8,2026-03-30 16:56:56.922
62.1,2026-03-30 16:56:57.132
61.9,2026-03-30 16:56:57.342
59.6,2026-03-30 16:56:57.552
62.3,2026-03-30 16:56:57.762
64.1,2026-03-30 16:56:57.972
63.0,2026-03-30 16:56:58.182
62.0,2026-03-30 16:56:58.392
60.5,2026-03-30 16:56:58.602
59.7,2026-03-30 16:56:58.812
63.2,2026-03-30 16:56:59.022
67.2,2026-03-30 16:56:59.232
67.5,2026-03-30 16:56:59.442
63.8,2026-03-30 16:56:59.652
62.9,2026-03-30 16:56:59.862
62.4,2026-03-30 16:57:00.072
64.3,2026-03-30 16:57:00.282
60.2,2026-03-30 16:57:00.492
60.2,2026-03-30 16:57:00.702
60.1,2026-03-30 16:57:00.912
66.5,2026-03-30 16:57:01.122
65.4,2026-03-30 16:57:01.332
63.6,2026-03-30 16:57:01.542
61.1,2026-03-30 16:57:01.752
65.1,2026-03-30 16:57:01.962
64.8,2026-03-30 16:57:02.172
63.8,2026-03-30 16:57:02.382
62.8,2026-03-30 16:57:02.592
63.0,2026-03-30 16:57:02.802
63.7,2026-03-30 16:57:03.012
61.7,2026-03-30 16:57:03.222
59.1,2026-03-30 16:57:03.432
58.0,2026-03-30 16:57:03.642
57.4,2026-03-30 16:57:03.852
57.2,2026-03-30 16:57:04.062
59.1,2026-03-30 16:57:04.272
58.4,2026-03-30 16:57:04.482
60.5,2026-03-30 16:57:04.692
58.8,2026-03-30 16:57:04.902
62.6,2026-03-30 16:57:05.112
66.6,2026-03-30 16:57:05.322
63.4,2026-03-30 16:57:05.532
60.6,2026-03-30 16:57:05.742
65.8,2026-03-30 16:57:05.952
74.5,2026-03-30 16:57:06.162
70.1,2026-03-30 16:57:06.372
67.0,2026-03-30 16:57:06.582
68.9,2026-03-30 16:57:06.792
65.1,2026-03-30 16:57:07.002
69.3,2026-03-30 16:57:07.212
63.2,2026-03-30 16:57:07.422
61.1,2026-03-30 16:57:07.632
68.4,2026-03-30 16:57:07.842
64.9,2026-03-30 16:57:08.052
65.9,2026-03-30 16:57:08.262
67.2,2026-03-30 16:57:08.472
71.7,2026-03-30 16:57:08.682
70.1,2026-03-30 16:57:08.892
66.0,2026-03-30 16:57:09.102
63.4,2026-03-30 16:57:09.312
64.1,2026-03-30 16:57:09.522
66.9,2026-03-30 16:57:09.732
