Start Time: 2026-03-30 17:08:05.443
Export Time: 2026-03-30 17:09:48.739
Min (dBA): 63.6
Max (dBA): 79.6
Peak (dBA): 82.0
Avg (dBA): 71.9
TWA (dBA): 0.0
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
73.7,2026-03-30 17:08:51.871
70.5,2026-03-30 17:08:52.081
69.8,2026-03-30 17:08:52.291
69.6,2026-03-30 17:08:52.501
74.4,2026-03-30 17:08:52.711
70.4,2026-03-30 17:08:52.920
65.5,2026-03-30 17:08:53.131
67.6,2026-03-30 17:08:53.340
66.3,2026-03-30 17:08:53.551
66.4,2026-03-30 17:08:53.760
70.6,2026-03-30 17:08:53.971
73.3,2026-03-30 17:08:54.181
75.2,2026-03-30 17:08:54.391
71.9,2026-03-30 17:08:54.601
70.5,2026-03-30 17:08:54.810
69.7,2026-03-30 17:08:55.020
69.4,2026-03-30 17:08:55.230
67.8,2026-03-30 17:08:55.440
69.7,2026-03-30 17:08:55.650
74.8,2026-03-30 17:08:55.860
73.1,2026-03-30 17:08:56.070
70.5,2026-03-30 17:08:56.281
72.0,2026-03-30 17:08:56.490
72.5,2026-03-30 17:08:56.700
70.8,2026-03-30 17:08:56.910
71.3,2026-03-30 17:08:57.120
70.0,2026-03-30 17:08:57.330
67.9,2026-03-30 17:08:57.540
70.1,2026-03-30 17:08:57.750
72.9,2026-03-30 17:08:57.960
72.1,2026-03-30 17:08:58.170
71.1,2026-03-30 17:08:58.380
68.8,2026-03-30 17:08:58.590
64.3,2026-03-30 17:08:58.800
64.6,2026-03-30 17:08:59.011
66.2,2026-03-30 17:08:59.220
66.9,2026-03-30 17:08:59.430
65.6,2026-03-30 17:08:59.640
65.4,2026-03-30 17:08:59.850
68.6,2026-03-30 17:09:00.060
67.3,2026-03-30 17:09:00.270
66.3,2026-03-30 17:09:00.480
68.9,2026-03-30 17:09:00.690
68.8,2026-03-30 17:09:00.900
67.7,2026-03-30 17:09:01.110
70.7,2026-03-30 17:09:01.320
70.7,2026-03-30 17:09:01.530
69.7,2026-03-30 17:09:01.740
67.5,2026-03-30 17:09:01.950
68.7,2026-03-30 17:09:02.160
70.1,2026-03-30 17:09:02.370
71.3,2026-03-30 17:09:02.580
70.6,2026-03-30 17:09:02.790
69.4,2026-03-30 17:09:03.000
69.0,2026-03-30 17:09:03.210
68.5,2026-03-30 17:09:03.420
66.7,2026-03-30 17:09:03.630
67.0,2026-03-30 17:09:03.840
66.1,2026-03-30 17:09:04.050
63.6,2026-03-30 17:09:04.261
65.6,2026-03-30 17:09:04.470
68.2,2026-03-30 17:09:04.680
68.2,2026-03-30 17:09:04.890
71.1,2026-03-30 17:09:05.100
70.4,2026-03-30 17:09:05.310
69.3,2026-03-30 17:09:05.520
69.5,2026-03-30 17:09:05.730
69.1,2026-03-30 17:09:05.940
68.5,2026-03-30 17:09:06.150
66.1,2026-03-30 17:09:06.360
68.7,2026-03-30 17:09:06.570
68.8,2026-03-30 17:09:06.781
71.2,2026-03-30 17:09:06.990
70.8,2026-03-30 17:09:07.200
71.1,2026-03-30 17:09:07.410
74.8,2026-03-30 17:09:07.620
78.0,2026-03-30 17:09:07.830
78.4,2026-03-30 17:09:08.040
75.5,2026-03-30 17:09:08.250
71.1,2026-03-30 17:09:08.460
71.3,2026-03-30 17:09:08.670
70.0,2026-03-30 17:09:08.880
69.5,2026-03-30 17:09:09.090
70.7,2026-03-30 17:09:09.300
72.5,2026-03-30 17:09:09.510
74.6,2026-03-30 17:09:09.720
75.8,2026-03-30 17:09:09.930
76.4,2026-03-30 17:09:10.140
75.4,2026-03-30 17:09:10.350
72.0,2026-03-30 17:09:10.560
72.3,2026-03-30 17:09:10.770
72.7,2026-03-30 17:09:10.980
72.3,2026-03-30 17:09:11.190
72.8,2026-03-30 17:09:11.400
72.1,2026-03-30 17:09:11.610
74.7,2026-03-30 17:09:11.820
72.9,2026-03-30 17:09:12.030
69.7,2026-03-30 17:09:12.240
69.6,2026-03-30 17:09:12.450
69.9,2026-03-30 17:09:12.660
72.2,2026-03-30 17:09:12.870
71.0,2026-03-30 17:09:13.080
72.8,2026-03-30 17:09:13.290
75.1,2026-03-30 17:09:13.500
77.3,2026-03-30 17:09:13.710
76.9,2026-03-30 17:09:13.920
75.2,2026-03-30 17:09:14.130
72.6,2026-03-30 17:09:14.340
74.0,2026-03-30 17:09:14.550
74.9,2026-03-30 17:09:14.760
74.3,2026-03-30 17:09:14.970
73.3,2026-03-30 17:09:15.180
72.9,2026-03-30 17:09:15.390
73.8,2026-03-30 17:09:15.600
73.7,2026-03-30 17:09:15.810
72.3,2026-03-30 17:09:16.020
73.0,2026-03-30 17:09:16.230
73.2,2026-03-30 17:09:16.440
79.6,2026-03-30 17:09:16.650
76.3,2026-03-30 17:09:16.860
74.0,2026-03-30 17:09:17.070
72.2,2026-03-30 17:09:17.280
70.6,2026-03-30 17:09:17.490
72.4,2026-03-30 17:09:17.700
70.6,2026-03-30 17:09:17.910
74.9,2026-03-30 17:09:18.120
74.7,2026-03-30 17:09:18.330
75.9,2026-03-30 17:09:18.540
73.9,2026-03-30 17:09:18.750
72.5,2026-03-30 17:09:18.960
70.9,2026-03-30 17:09:19.170
73.6,2026-03-30 17:09:19.380
73.2,2026-03-30 17:09:19.590
71.6,2026-03-30 17:09:19.800
72.0,2026-03-30 17:09:20.010
72.3,2026-03-30 17:09:20.220
71.8,2026-03-30 17:09:20.430
74.3,2026-03-30 17:09:20.640
73.3,2026-03-30 17:09:20.850
71.8,2026-03-30 17:09:21.060
73.9,2026-03-30 17:09:21.270
75.5,2026-03-30 17:09:21.480
