Start Time: 2026-03-30 17:18:09.839
Export Time: 2026-03-30 17:19:39.337
Min (dBA): 46.5
Max (dBA): 62.3
Peak (dBA): 67.0
Avg (dBA): 51.2
TWA (dBA): 0.0
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
49.8,2026-03-30 17:18:51.187
49.9,2026-03-30 17:18:51.396
50.8,2026-03-30 17:18:51.607
52.0,2026-03-30 17:18:51.817
52.9,2026-03-30 17:18:52.027
50.1,2026-03-30 17:18:52.237
50.0,2026-03-30 17:18:52.447
48.7,2026-03-30 17:18:52.657
50.4,2026-03-30 17:18:52.867
52.3,2026-03-30 17:18:53.077
52.5,2026-03-30 17:18:53.287
51.9,2026-03-30 17:18:53.497
53.4,2026-03-30 17:18:53.707
53.8,2026-03-30 17:18:53.917
53.8,2026-03-30 17:18:54.127
53.8,2026-03-30 17:18:54.337
52.1,2026-03-30 17:18:54.546
50.1,2026-03-30 17:18:54.757
49.6,2026-03-30 17:18:54.967
51.1,2026-03-30 17:18:55.177
50.8,2026-03-30 17:18:55.387
50.1,2026-03-30 17:18:55.597
50.6,2026-03-30 17:18:55.807
49.1,2026-03-30 17:18:56.017
52.1,2026-03-30 17:18:56.227
51.9,2026-03-30 17:18:56.437
50.3,2026-03-30 17:18:56.647
48.2,2026-03-30 17:18:56.856
51.1,2026-03-30 17:18:57.067
48.8,2026-03-30 17:18:57.277
50.0,2026-03-30 17:18:57.487
51.7,2026-03-30 17:18:57.697
49.2,2026-03-30 17:18:57.907
49.4,2026-03-30 17:18:58.117
47.5,2026-03-30 17:18:58.327
49.5,2026-03-30 17:18:58.537
50.7,2026-03-30 17:18:58.747
50.0,2026-03-30 17:18:58.957
49.7,2026-03-30 17:18:59.167
49.2,2026-03-30 17:18:59.377
48.9,2026-03-30 17:18:59.586
54.4,2026-03-30 17:18:59.797
50.6,2026-03-30 17:19:00.007
51.9,2026-03-30 17:19:00.217
50.0,2026-03-30 17:19:00.426
51.6,2026-03-30 17:19:00.636
50.0,2026-03-30 17:19:00.847
48.5,2026-03-30 17:19:01.056
51.2,2026-03-30 17:19:01.267
48.5,2026-03-30 17:19:01.477
51.1,2026-03-30 17:19:01.686
52.2,2026-03-30 17:19:01.896
62.3,2026-03-30 17:19:02.106
57.5,2026-03-30 17:19:02.317
56.0,2026-03-30 17:19:02.527
51.6,2026-03-30 17:19:02.737
52.8,2026-03-30 17:19:02.947
52.5,2026-03-30 17:19:03.156
51.0,2026-03-30 17:19:03.367
51.3,2026-03-30 17:19:03.576
50.2,2026-03-30 17:19:03.787
51.5,2026-03-30 17:19:03.997
50.1,2026-03-30 17:19:04.207
51.4,2026-03-30 17:19:04.416
50.4,2026-03-30 17:19:04.627
49.4,2026-03-30 17:19:04.837
49.1,2026-03-30 17:19:05.047
50.5,2026-03-30 17:19:05.256
51.6,2026-03-30 17:19:05.467
52.7,2026-03-30 17:19:05.676
49.9,2026-03-30 17:19:05.886
50.5,2026-03-30 17:19:06.097
52.2,2026-03-30 17:19:06.307
53.5,2026-03-30 17:19:06.516
54.5,2026-03-30 17:19:06.726
