Start Time: 2026-03-30 17:26:43.168
Export Time: 2026-03-30 17:28:34.466
Min (dBA): 52.0
Max (dBA): 75.6
Peak (dBA): 80.8
Avg (dBA): 68.2
TWA (dBA): 0.0
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
55.6,2026-03-30 17:27:08.536
59.1,2026-03-30 17:27:08.746
59.8,2026-03-30 17:27:08.956
61.5,2026-03-30 17:27:09.166
55.4,2026-03-30 17:27:09.376
53.8,2026-03-30 17:27:09.586
53.0,2026-03-30 17:27:09.796
53.0,2026-03-30 17:27:10.006
52.0,2026-03-30 17:27:10.216
52.0,2026-03-30 17:27:10.426
56.9,2026-03-30 17:27:10.636
62.5,2026-03-30 17:27:10.846
65.4,2026-03-30 17:27:11.056
63.9,2026-03-30 17:27:11.266
61.2,2026-03-30 17:27:11.476
64.9,2026-03-30 17:27:11.686
66.3,2026-03-30 17:27:11.896
63.5,2026-03-30 17:27:12.106
65.9,2026-03-30 17:27:12.316
64.4,2026-03-30 17:27:12.526
59.3,2026-03-30 17:27:12.736
60.6,2026-03-30 17:27:12.946
62.6,2026-03-30 17:27:13.156
61.2,2026-03-30 17:27:13.366
61.0,2026-03-30 17:27:13.576
60.3,2026-03-30 17:27:13.786
62.6,2026-03-30 17:27:13.996
59.5,2026-03-30 17:27:14.206
59.8,2026-03-30 17:27:14.416
66.6,2026-03-30 17:27:14.626
74.1,2026-03-30 17:27:14.836
70.2,2026-03-30 17:27:15.046
64.2,2026-03-30 17:27:15.256
70.6,2026-03-30 17:27:15.466
72.5,2026-03-30 17:27:15.676
68.4,2026-03-30 17:27:15.886
67.8,2026-03-30 17:27:16.096
64.7,2026-03-30 17:27:16.306
62.2,2026-03-30 17:27:16.516
62.6,2026-03-30 17:27:16.726
63.3,2026-03-30 17:27:16.936
64.5,2026-03-30 17:27:17.146
68.1,2026-03-30 17:27:17.356
71.2,2026-03-30 17:27:17.566
71.0,2026-03-30 17:27:17.776
71.1,2026-03-30 17:27:17.986
71.6,2026-03-30 17:27:18.196
69.5,2026-03-30 17:27:18.406
68.3,2026-03-30 17:27:18.616
63.7,2026-03-30 17:27:18.826
64.9,2026-03-30 17:27:19.036
66.4,2026-03-30 17:27:19.246
63.6,2026-03-30 17:27:19.456
64.2,2026-03-30 17:27:19.666
66.9,2026-03-30 17:27:19.876
70.7,2026-03-30 17:27:20.086
73.8,2026-03-30 17:27:20.296
68.5,2026-03-30 17:27:20.506
73.2,2026-03-30 17:27:20.716
72.0,2026-03-30 17:27:20.926
67.3,2026-03-30 17:27:21.136
69.3,2026-03-30 17:27:21.346
68.1,2026-03-30 17:27:21.556
75.6,2026-03-30 17:27:21.766
75.3,2026-03-30 17:27:21.976
72.2,2026-03-30 17:27:22.186
64.5,2026-03-30 17:27:22.396
64.5,2026-03-30 17:27:22.606
63.5,2026-03-30 17:27:22.816
65.1,2026-03-30 17:27:23.026
64.9,2026-03-30 17:27:23.236
63.4,2026-03-30 17:27:23.446
67.5,2026-03-30 17:27:23.656
74.2,2026-03-30 17:27:23.865
73.0,2026-03-30 17:27:24.076
66.7,2026-03-30 17:27:24.286
69.8,2026-03-30 17:27:24.496
63.8,2026-03-30 17:27:24.706
64.3,2026-03-30 17:27:24.916
70.4,2026-03-30 17:27:25.125
69.5,2026-03-30 17:27:25.336
72.4,2026-03-30 17:27:25.546
67.2,2026-03-30 17:27:25.756
67.0,2026-03-30 17:27:25.965
66.9,2026-03-30 17:27:26.176
65.8,2026-03-30 17:27:26.386
66.1,2026-03-30 17:27:26.596
60.5,2026-03-30 17:27:26.806
69.0,2026-03-30 17:27:27.016
72.2,2026-03-30 17:27:27.225
68.9,2026-03-30 17:27:27.436
72.6,2026-03-30 17:27:27.645
64.8,2026-03-30 17:27:27.856
68.1,2026-03-30 17:27:28.066
64.4,2026-03-30 17:27:28.275
65.1,2026-03-30 17:27:28.486
67.2,2026-03-30 17:27:28.696
68.7,2026-03-30 17:27:28.906
68.0,2026-03-30 17:27:29.116
68.0,2026-03-30 17:27:29.325
71.1,2026-03-30 17:27:29.535
69.8,2026-03-30 17:27:29.745
73.1,2026-03-30 17:27:29.956
69.5,2026-03-30 17:27:30.166
67.1,2026-03-30 17:27:30.375
69.4,2026-03-30 17:27:30.586
66.6,2026-03-30 17:27:30.795
64.8,2026-03-30 17:27:31.005
62.1,2026-03-30 17:27:31.215
62.0,2026-03-30 17:27:31.425
60.0,2026-03-30 17:27:31.635
60.9,2026-03-30 17:27:31.845
