decibel,timestamp,location
65.6,2026-03-30 16:56:52.722,RAC
65.7,2026-03-30 16:56:52.932,RAC
66.5,2026-03-30 16:56:53.142,RAC
65.6,2026-03-30 16:56:53.352,RAC
63.9,2026-03-30 16:56:53.562,RAC
63.6,2026-03-30 16:56:53.772,RAC
65.7,2026-03-30 16:56:53.982,RAC
63.0,2026-03-30 16:56:54.192,RAC
63.0,2026-03-30 16:56:54.402,RAC
61.9,2026-03-30 16:56:54.612,RAC
62.8,2026-03-30 16:56:54.822,RAC
61.0,2026-03-30 16:56:55.032,RAC
65.0,2026-03-30 16:56:55.242,RAC
64.5,2026-03-30 16:56:55.452,RAC
62.1,2026-03-30 16:56:55.662,RAC
66.3,2026-03-30 16:56:55.872,RAC
66.1,2026-03-30 16:56:56.082,RAC
64.2,2026-03-30 16:56:56.292,RAC
63.0,2026-03-30 16:56:56.502,RAC
63.0,2026-03-30 16:56:56.712,RAC
60.8,2026-03-30 16:56:56.922,RAC
62.1,2026-03-30 16:56:57.132,RAC
61.9,2026-03-30 16:56:57.342,RAC
59.6,2026-03-30 16:56:57.552,RAC
62.3,2026-03-30 16:56:57.762,RAC
64.1,2026-03-30 16:56:57.972,RAC
63.0,2026-03-30 16:56:58.182,RAC
62.0,2026-03-30 16:56:58.392,RAC
60.5,2026-03-30 16:56:58.602,RAC
59.7,2026-03-30 16:56:58.812,RAC
63.2,2026-03-30 16:56:59.022,RAC
67.2,2026-03-30 16:56:59.232,RAC
67.5,2026-03-30 16:56:59.442,RAC
63.8,2026-03-30 16:56:59.652,RAC
62.9,2026-03-30 16:56:59.862,RAC
62.4,2026-03-30 16:57:00.072,RAC
64.3,2026-03-30 16:57:00.282,RAC
60.2,2026-03-30 16:57:00.492,RAC
60.2,2026-03-30 16:57:00.702,RAC
60.1,2026-03-30 16:57:00.912,RAC
66.5,2026-03-30 16:57:01.122,RAC
65.4,2026-03-30 16:57:01.332,RAC
63.6,2026-03-30 16:57:01.542,RAC
61.1,2026-03-30 16:57:01.752,RAC
65.1,2026-03-30 16:57:01.962,RAC
64.8,2026-03-30 16:57:02.172,RAC
63.8,2026-03-30 16:57:02.382,RAC
62.8,2026-03-30 16:57:02.592,RAC
63.0,2026-03-30 16:57:02.802,RAC
63.7,2026-03-30 16:57:03.012,RAC
61.7,2026-03-30 16:57:03.222,RAC
59.1,2026-03-30 16:57:03.432,RAC
58.0,2026-03-30 16:57:03.642,RAC
57.4,2026-03-30 16:57:03.852,RAC
57.2,2026-03-30 16:57:04.062,RAC
59.1,2026-03-30 16:57:04.272,RAC
58.4,2026-03-30 16:57:04.482,RAC
60.5,2026-03-30 16:57:04.692,RAC
58.8,2026-03-30 16:57:04.902,RAC
62.6,2026-03-30 16:57:05.112,RAC
66.6,2026-03-30 16:57:05.322,RAC
63.4,2026-03-30 16:57:05.532,RAC
60.6,2026-03-30 16:57:05.742,RAC
65.8,2026-03-30 16:57:05.952,RAC
74.5,2026-03-30 16:57:06.162,RAC
70.1,2026-03-30 16:57:06.372,RAC
67.0,2026-03-30 16:57:06.582,RAC
68.9,2026-03-30 16:57:06.792,RAC
65.1,2026-03-30 16:57:07.002,RAC
69.3,2026-03-30 16:57:07.212,RAC
63.2,2026-03-30 16:57:07.422,RAC
61.1,2026-03-30 16:57:07.632,RAC
68.4,2026-03-30 16:57:07.842,RAC
64.9,2026-03-30 16:57:08.052,RAC
65.9,2026-03-30 16:57:08.262,RAC
67.2,2026-03-30 16:57:08.472,RAC
71.7,2026-03-30 16:57:08.682,RAC
70.1,2026-03-30 16:57:08.892,RAC
66.0,2026-03-30 16:57:09.102,RAC
63.4,2026-03-30 16:57:09.312,RAC
64.1,2026-03-30 16:57:09.522,RAC
66.9,2026-03-30 16:57:09.732,RAC
69.5,2026-03-30 16:57:09.942,RAC
67.9,2026-03-30 16:57:10.152,RAC
65.4,2026-03-30 16:57:10.362,RAC
66.7,2026-03-30 16:57:10.572,RAC
65.6,2026-03-30 16:57:10.782,RAC
65.4,2026-03-30 16:57:10.992,RAC
66.1,2026-03-30 16:57:11.202,RAC
63.2,2026-03-30 16:57:11.412,RAC
61.6,2026-03-30 16:57:11.622,RAC
63.7,2026-03-30 16:57:11.832,RAC
62.1,2026-03-30 16:57:12.042,RAC
62.8,2026-03-30 16:57:12.252,RAC
63.1,2026-03-30 16:57:12.462,RAC
63.9,2026-03-30 16:57:12.672,RAC
65.3,2026-03-30 16:57:12.882,RAC
62.9,2026-03-30 16:57:13.092,RAC
62.5,2026-03-30 16:57:13.302,RAC
61.7,2026-03-30 16:57:13.512,RAC
69.4,2026-03-30 16:57:13.722,RAC
68.0,2026-03-30 16:57:13.932,RAC
65.5,2026-03-30 16:57:14.142,RAC
61.5,2026-03-30 16:57:14.352,RAC
65.0,2026-03-30 16:57:14.562,RAC
63.6,2026-03-30 16:57:14.772,RAC
62.6,2026-03-30 16:57:14.982,RAC
64.1,2026-03-30 16:57:15.192,RAC
62.0,2026-03-30 16:57:15.402,RAC
63.9,2026-03-30 16:57:15.612,RAC
64.4,2026-03-30 16:57:15.822,RAC
63.4,2026-03-30 16:57:16.031,RAC
60.8,2026-03-30 16:57:16.242,RAC
59.5,2026-03-30 16:57:16.452,RAC
62.1,2026-03-30 16:57:16.662,RAC
62.6,2026-03-30 16:57:16.872,RAC
59.5,2026-03-30 16:57:17.082,RAC
64.8,2026-03-30 16:57:17.291,RAC
63.6,2026-03-30 16:57:17.502,RAC
61.1,2026-03-30 16:57:17.712,RAC
61.1,2026-03-30 16:57:17.922,RAC
66.1,2026-03-30 16:57:18.132,RAC
64.4,2026-03-30 16:57:18.342,RAC
60.1,2026-03-30 16:57:18.552,RAC
57.9,2026-03-30 16:57:18.762,RAC
59.6,2026-03-30 16:57:18.972,RAC
59.9,2026-03-30 16:57:19.182,RAC
57.7,2026-03-30 16:57:19.392,RAC
58.3,2026-03-30 16:57:19.602,RAC
59.7,2026-03-30 16:57:19.812,RAC
61.1,2026-03-30 16:57:20.022,RAC
65.7,2026-03-30 16:57:20.232,RAC
65.0,2026-03-30 16:57:20.442,RAC
63.5,2026-03-30 16:57:20.652,RAC
62.3,2026-03-30 16:57:20.862,RAC
61.5,2026-03-30 16:57:21.072,RAC
61.3,2026-03-30 16:57:21.282,RAC
59.7,2026-03-30 16:57:21.492,RAC
63.3,2026-03-30 16:57:21.702,RAC
66.9,2026-03-30 16:57:21.912,RAC
68.3,2026-03-30 16:57:22.122,RAC
66.9,2026-03-30 16:57:22.331,RAC
73.7,2026-03-30 17:08:51.871,University Center
70.5,2026-03-30 17:08:52.081,University Center
69.8,2026-03-30 17:08:52.291,University Center
69.6,2026-03-30 17:08:52.501,University Center
74.4,2026-03-30 17:08:52.711,University Center
70.4,2026-03-30 17:08:52.920,University Center
65.5,2026-03-30 17:08:53.131,University Center
67.6,2026-03-30 17:08:53.340,University Center
66.3,2026-03-30 17:08:53.551,University Center
66.4,2026-03-30 17:08:53.760,University Center
70.6,2026-03-30 17:08:53.971,University Center
73.3,2026-03-30 17:08:54.181,University Center
75.2,2026-03-30 17:08:54.391,University Center
71.9,2026-03-30 17:08:54.601,University Center
70.5,2026-03-30 17:08:54.810,University Center
69.7,2026-03-30 17:08:55.020,University Center
69.4,2026-03-30 17:08:55.230,University Center
67.8,2026-03-30 17:08:55.440,University Center
69.7,2026-03-30 17:08:55.650,University Center
74.8,2026-03-30 17:08:55.860,University Center
73.1,2026-03-30 17:08:56.070,University Center
70.5,2026-03-30 17:08:56.281,University Center
72.0,2026-03-30 17:08:56.490,University Center
72.5,2026-03-30 17:08:56.700,University Center
70.8,2026-03-30 17:08:56.910,University Center
71.3,2026-03-30 17:08:57.120,University Center
70.0,2026-03-30 17:08:57.330,University Center
67.9,2026-03-30 17:08:57.540,University Center
70.1,2026-03-30 17:08:57.750,University Center
72.9,2026-03-30 17:08:57.960,University Center
72.1,2026-03-30 17:08:58.170,University Center
71.1,2026-03-30 17:08:58.380,University Center
68.8,2026-03-30 17:08:58.590,University Center
64.3,2026-03-30 17:08:58.800,University Center
64.6,2026-03-30 17:08:59.011,University Center
66.2,2026-03-30 17:08:59.220,University Center
66.9,2026-03-30 17:08:59.430,University Center
65.6,2026-03-30 17:08:59.640,University Center
65.4,2026-03-30 17:08:59.850,University Center
68.6,2026-03-30 17:09:00.060,University Center
67.3,2026-03-30 17:09:00.270,University Center
66.3,2026-03-30 17:09:00.480,University Center
68.9,2026-03-30 17:09:00.690,University Center
68.8,2026-03-30 17:09:00.900,University Center
67.7,2026-03-30 17:09:01.110,University Center
70.7,2026-03-30 17:09:01.320,University Center
70.7,2026-03-30 17:09:01.530,University Center
69.7,2026-03-30 17:09:01.740,University Center
67.5,2026-03-30 17:09:01.950,University Center
68.7,2026-03-30 17:09:02.160,University Center
70.1,2026-03-30 17:09:02.370,University Center
71.3,2026-03-30 17:09:02.580,University Center
70.6,2026-03-30 17:09:02.790,University Center
69.4,2026-03-30 17:09:03.000,University Center
69.0,2026-03-30 17:09:03.210,University Center
68.5,2026-03-30 17:09:03.420,University Center
66.7,2026-03-30 17:09:03.630,University Center
67.0,2026-03-30 17:09:03.840,University Center
66.1,2026-03-30 17:09:04.050,University Center
63.6,2026-03-30 17:09:04.261,University Center
65.6,2026-03-30 17:09:04.470,University Center
68.2,2026-03-30 17:09:04.680,University Center
68.2,2026-03-30 17:09:04.890,University Center
71.1,2026-03-30 17:09:05.100,University Center
70.4,2026-03-30 17:09:05.310,University Center
69.3,2026-03-30 17:09:05.520,University Center
69.5,2026-03-30 17:09:05.730,University Center
69.1,2026-03-30 17:09:05.940,University Center
68.5,2026-03-30 17:09:06.150,University Center
66.1,2026-03-30 17:09:06.360,University Center
68.7,2026-03-30 17:09:06.570,University Center
68.8,2026-03-30 17:09:06.781,University Center
71.2,2026-03-30 17:09:06.990,University Center
70.8,2026-03-30 17:09:07.200,University Center
71.1,2026-03-30 17:09:07.410,University Center
74.8,2026-03-30 17:09:07.620,University Center
